セッションタイトル,セッション概要,トラック,セッションレベル,対象オーディエンス,スピーカー名,スピーカーAlias,ヨミガナ,会社名,部署名,役職,セッションで使用する言語,他のスピーカ,Internal or External,受講対象文言,関連MVA(1)タイトル,関連MVA(1)URL,関連MVA(2)タイトル,関連MVA(2)URL,関連MVA(3)タイトル,関連MVA(3)URL,関連製品テクノロジーキーワード,セッションID,Discloser Plan,Item Type,Path
今だからもう一度確認したい、クライアントテクノロジーの概要と選択,"新たに UWP が登場した Windows のクライアントプラットフォーム。 我々は Web、Windows フォーム、WPF、Windows ランタイムに UWP、さらにはハイブリッドアプリなど様々な技術を用途に合わせて選択することができます。
そこでこのセッションではそれらの各テクノロジーを改めて紐解きながら、どういった場面でどういったテクノロジーを採用したらよいのか、また今後の変化をを見据えたうえで、クライアントアプリケーションの実装モデルをどのように構築したらよいのか、といった点にフォーカスしながらデモを交えて解説します。",4.Client,300,開発者;#ITプロ;#アーキテクト,高橋 忍,shintak,タカハシ シノブ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,プラットフォーム エバンジェリスト,日本語,,Internal Only,開発のためのセッションですが、実装方法というよりも開発技術を理解するといった内容ですので、どのタイプのエンジニアの方でもご興味があればぜひご参加ください。,,,,,,,UWP開発;#クロスプラットフォーム;#Windows;#Visual Stuido;#.NET;#Windows Phone;#Xbox;#IoT & デバイス,CLT-001,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
クラウドで広げる広がる UWP アプリの世界,クラウドファースト、モバイルファーストの世界において生まれてきた UWP アプリは、様々なデバイス上で動くだけでなく、もちろんクラウドとの相性も抜群です。本セッションでは、Azure を使わない方法から Azure を活用する方法まで、やりたいこと、できることベースに UWP アプリの世界をどのように広げていけるのかについて解説します。,4.Client,300,開発者,田中達彦,ttanaka,タナカタツヒコ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,,,,,,,,UWP開発;#クラウド開発;#Windows;#Microsoft Azure;#Windows Phone;#クラウド,CLT-010,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Windows 10 デバイスと UWP 完全解説,Raspberry Pi 2 のような IoT デバイスから PC、スマートフォン、タブレットはもちろん、Xbox から HoloLens に至るまで様々なデバイスに対応した Windows 10。その各デバイスと UWP はどのように関係にあり、各デバイスへの対応はどのようしたらよいのか？これから Windows10 アプリに対応するために抑えておかなければならないこのポイントをしっかり解説します。皆さんのアプリをいつか、HoloLens で起動させるためにも、ここはしっかり押さえておいてください。,4.Client,300,開発者,高橋 忍,shintak,タカハシ シノブ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,プラットフォーム エバンジェリスト,日本語,,Internal Only,Windows アプリケーション開発にかかわるすべての皆様、そしてそこに興味がある皆さまはぜひご参加ください。,,,,,,,UWP開発;#Windows;#Windows Phone;#Xbox;#IoT & デバイス,CLT-002,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
UWP で業務パッケージやエンタープライズ LOB は行けるのか？ ～ UWP アプリによる業務システムの開発と展開 ～,"企業システムと親和性の高い Windows 10 や Windows 10 Mobile への関心の高まりと共に、業務のベストプラクティスを UWP アプリとして開発や展開する事例が増えてきています。本セッションでは、業務アプリ開発に利用できる UWP の API や、ビジネス向けのアプリ配置に活用できる Windows ストアやサイドローディングにおける留意点、UWP アプリの開発から展開について解説します。
",4.Client,300,開発者;#ITプロ;#アーキテクト,佐藤 直樹,naokis,サトウ ナオキ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,テクニカルエバンジェリスト,日本語,,Internal Only,,,,,,,,UWP開発;#Windows,CLT-003,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
インサイド UWPアプリ,Windows 10 では、Windows Runtime の発展形である UWP へのアプリ環境へと更新されています。新しいスタート メニューの提供とともに、Windows のシェルである Windows Explorer も目に見えないところで、Windows 8.1 から改良が行われています。本セッションでは、アプリ環境である UWP と Windows シェルとの関係を説明します。,4.Client,400,開発者,荒井　省三,shozoa,アライ　ショウゾウ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,UWP アプリ開発に携わる皆様。特に、UWP アプリのトラブル シューティングに興味をお持ちの方は、ぜひご参加ください。,,,,,,,UWP開発;#Windows,CLT-012,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
音声を活用した UWP アプリの拡張 ～ Cortana、音声合成、音声認識 ～,Windows 10 の特長的な機能の一つのパーソナル アシスタントである Cortana。Cortana はアプリと連動させることができるため、単なるアシスタント以上の活躍をさせることができます。本セッションでは、アプリと Cortana の連動や、Cortana を使わずにアプリを音声の入出力に対応させる方法を解説し、アプリの可能性を広げるヒントを紹介します。,4.Client,300,開発者,田中達彦,ttanaka,タナカタツヒコ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,,,,,,,,UWP開発;#Windows,CLT-015,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
Windows 10 におけるアプリの互換性と移行,Windows 10 では、アプリの動作モードが変更されて、Windows 7 と同じウィンドウを持つようになりました。利用者からは、デスクトップ アプリと UWP アプリの見え方に違いはなく、目的に応じてシームレスとにアプリが使えることが求められます。本セッションでは、アプリの互換性を確保するために必要な作業を初めとして、UWPアプリへ移行する方法とタッチと親和性の高い UWP アプリを組み合わせるための相互連携技術まで説明します。,4.Client,300,開発者,荒井　省三,shozoa,アライ　ショウゾウ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,Windows 10 対応を考えている開発者の皆様。,,,,,,,Windows,CLT-004,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
HoloLens アプリ開発 ～世界を変えてしまうテクノロジー～,ホログラフィック コンピューティングを実現する Microsoft HoloLens は、パワフルかつまったく新しいホログラフィック プラットフォームであり、Microsoft Windows 10 ファミリーです。Microsoft HoloLens を使用すると現実世界と仮想世界の時間と空間を融合 (Mixed Reality) させることができますが、そのためにはデバイスの機能と特長を理解しておく必要があります。本セッションでは Microsoft HoloLens の重要かつ特長的な機能と Mixed Reality の設計、アプリ開発手法およびアプリ モデルについてご紹介します。世界を変えてしまうテクノロジーにいち早く触れてください。,4.Client,300,開発者,千葉 慎二,shinjich,チバ シンジ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,,,,,,,,UWP開発;#Windows;#IoT & デバイス,CLT-007,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
HoloLens 概要 ～世界をみる新しい方法～,ホログラムはコンピューティングにおける大きな革命です。クリエーターや開発者など多くの人たちが心に描いたハードウェア、ソフトウェアを目に見えるかたちにできます。Microsoft HoloLens は光を放つことによってイメージを造り、音により臨場感を増し、そしてコントロールすることによってホログラムの世界を変えることのできる新しいデバイスです。本セッションでは、ホログラフィック プラットフォームの基本的な考え方と類似プラットフォームとの比較、それによる開発スタイルの変革や活用アイデアについてご紹介します。,4.Client,300,開発者,千葉 慎二,shinjich,チバ シンジ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,,,,,,,,UWP開発;#Windows;#IoT & デバイス,CLT-006,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
Windows 10 アプリとシングルサインオン～Microsoft Passport の意義とその実装方法,"シングルサインオン（SSO）はセキュリティの要です。その理由はセッション内でいやというほど詳しくお話ししますが、安全性を追求すると必然的にSSO になってしまうのです。問題は SSO の実装方法です。
Windows 10 からあらたに実装された Microsoft Passport、そしてそれとともに動作する生体認証機能 Windows Hello をご存知でしょうか？これもセッション内で詳しく解説しますが、「安全性」と「手軽さ」を兼ね備えた、現時点では究極の認証方法と言えるでしょう。
本セッションでは、「シングルサインオン」に主眼を置き、アプリケーションが実装すべき安全性と、Windows 10 アプリを Microsoft Passport および Windows Hello に対応させる方法について詳しく解説いたします。
皆さんのアプリケーションのパンフレットに「生体認証対応！」と書かれていたらどんなにすばらしいか想像してみてください。",4.Client,300,開発者;#ITプロ;#アーキテクト,安納 順一,junichia,あんのう じゅんいち,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,プリンシパル テクニカル エバンジェリスト,日本語,,Internal Only,アプリケーション開発者、インフラアーキテクト設計者,,,,,,,UWP開発;#情報セキュリティ;#エンタープライズモビリティ;#Windows,CLT-009,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
Cloud First をリードする Azure SQL Database の仕組みと新機能,SQL Server をベースとした PaaS のリレーショナル データベースである Azure SQL Database は、SQL Server のテストヘッドも兼ね、新しい機能が次々に実装されています。また、V12 として識別される現行バージョンでは、SQL Server 2016 の機能が先行搭載され、PaaS のデータベースとして豊富な機能を提供しています。本セッションでは、Azure SQL Database のアーキテクチャを解説すると同時に、現行バージョンで利用できる新機能（Preview）含むを紹介します。,2.Data Platform,300,ITプロ;#アーキテクト,北川　剛,tskitaga,キタガワ ツヨシ,日本マイクロソフト株式会社,クラウド＆エンタープライズビジネス本部,エグゼクティブ プロダクト マネージャー,日本語,,Internal Only,リレーショナル データベースを使用する上で PaaS を検討されている方や、PaaS のリレーショナル データベースにご興味をお持ちの方はぜひご参加ください。,Azure SQL DB/SQL Server 2016 Performance,,SQL Server on Azure,,Azure SQL Data Warehouse,,クラウド開発;#情報セキュリティ;#Microsoft Azure;#SQL Server;#クラウド,DBP-004,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
200 時間以上お客様と向き合ってみえた Team Foundation Server による開発業務効率化の実現方法,本セッションでは、講師が 5 か月で 200 時間以上向き合ったお客様の声をもとに、Team Foundation Server / Visual Studio Team Services で実現する開発業務効率化のポイントと失敗しない導入方法をご紹介します。,1.Development,300,開発者;#ITプロ,武田 正樹,masakit,タケダ マサキ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,テクノロジー スペシャリスト,日本語,,Internal Only,"開発業務の効率化に興味をお持ちの方はぜひご参加ください。マイクロソフト技術だけでなく、Java, iOS 開発者の方も必見です。",,,,,,,DevOps(チーム開発);#Visual Stuido;#クラウド;#運用,DEV-005,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
SQL Serve 2016 R Services、Microsoft R Server の構成と実行アーキテクチャー,"SQL Server 2016 で R 言語を並列分散実行できる R Services 機能が追加されます。また、Linux など向けに Microsoft R Server を提供しています。これら R に関する機能がどのようなアーキテクチャーで動き、どのように構成がとれるのかについてご説明します。
尚、R 言語自体の説明は本セッションには含みませんが、本セッションは実行基盤にフォーカスした内容のため R 言語の詳細な知識は不要です。",2.Data Platform,300,ITプロ;#アーキテクト,笹木　幸一郎,kosasaki,ササキ　コウイチロウ,日本マイクロソフト株式会社,Global Black Belt,アナリティクス テクノロジーソリューションプロフェッショナル,日本語,,Internal Only,R 言語を実システムの1構成要素としたいデータ分析担当者、IT プロの皆さま,,,,,,,開発言語;#SQL Server;#ビッグデータ,DBP-007,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
真のクラウドベース EMM　～マイクロソフトのモビリティ戦略はいかにユニークか～,マイクロソフトのモビリティ製品であるEnterprise Mobility Suite が実現するエンタープライズモビリティマネジメント (EMM) の理想の姿をご紹介します。その中でも、特にMicrosoft Intune を中心としたデバイス管理、アプリケーション管理、及び条件付きアクセスについて、他社ソリューションとの仕組みの違いを交えながら解説します。Windows 10 Mobile 端末の管理及びキオスク化についてもご紹介します。,3.Infrastructure,300,ITプロ,高橋大志,hitak,たかはしひろし,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統括本部,テクノロジーソリューションズプロフェッショナル,日本語,,Internal Only,企業において PC を含めたデバイスの管理に携わっている方、及びワークスタイル変革を推進されている方。,,,,,,,情報セキュリティ;#エンタープライズモビリティ;#Microsoft Intune;#Office 365,INF-026,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Windows 10 の展開　～プロビジョニングの真実～,Windows 10 が一般提供されてから約10か月。その10か月を振り返って、Windows 10 とともに導入された新たな展開手法（インプレースアップデート＆プロビジョニング）をリアルなシナリオで解説します。また本セッションでは、Windows 10 の複数のプロビジョニング手法にて、できること・できないことを切り分けながら、適切な Windows 10 展開手法の選択にたどり着く道をご案内します。,3.Infrastructure,300,ITプロ,Samir Hammoudi,sahammou,ハムディ サミール,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統括本部,テクノロジーソリューションズプロフェッショナル,日本語,,Internal Only,,,,,,,,Windows;#System Center;#運用,INF-024,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
マイクロソフトの特権管理ソリューションの全貌 ～狙われる特権を守れ！～,"サイバー セキュリティの最も基本的な対策は、意図されたユーザー本人だけがそのユーザーの ID を利用できるようにすることです。
ファイル サーバーのアクセス権設定や MDM による持ち出し端末の管理などの様々なセキュリティ対策を実施していも、ID の不正利用 (サイバー攻撃や内部者による攻撃など) が発生すると、たちまち対策の効果が無効化されてしまいます。
特に、多くの攻撃者は管理者特権の ID を得ることを目的としているため、近年のセキュリティ対策では特権管理が重要になっています。
クラウドとオンプレミスの両方の環境におけるマイクロソフトの特権管理ソリューションの全貌とその効果をご紹介します。",3.Infrastructure,300,ITプロ,成田 翔,snarita,ナリタ ショウ,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統括本部,テクノロジーソリューションズプロフェッショナル,日本語,,Internal Only,,,,,,,,情報セキュリティ;#エンタープライズモビリティ;#Microsoft Azure;#Windows Server;#Office 365;#クラウド;#運用,INF-023,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
新しく生まれ変わったデータアクセス テクノロジ　～ Entity Framework Core 1.0 の全貌 ～,"2008 年に登場した Entity Framework (EF) は 継続してバージョンアップを続け現在は EF6 が提供されています。ただし時代はかわりました。.NET のオープンソース化、マルチプラットフォーム対応の流れに沿ってEFは新しくはEntity Framework Core 1.0（以前はEntity Framework 7という名前）として生まれ変わります。このセッションでは従来のEFと比較して一体何が変わったのか？という疑問にお答えします。
",1.Development,300,開発者,井上 大輔,daisukei,イノウエ ダイスケ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,テクニカル エバンジェリスト,日本語,,Internal Only,新しい開発技術に興味をお持ちの方は是非ご参加ください。,,,,,,,Web開発;#Visual Stuido;#.NET,DEV-003,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
企業で使える Windows 10 ～現実的なアプリ&デバイス管理～,"Windows 10 がリリースされて間もなく 1 年あまり。企業内で利用するには、やはり管理面と互換性が気になります。適切に管理されたデバイスは、管理者にとってはもとより、利用者としても安心して使うことができます。
本セッションでは、デスクトップ アプリ/UWP アプリ/Web アプリ (IE/Edge) の管理手法を中心に、Windows 10 を違和感なく展開するための『現実的な』管理方法についてご紹介します。",3.Infrastructure,300,ITプロ,東條 敏夫,totojo,トウジョウ トシオ,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統括本部,テクノロジーソリューションズプロフェッショナル,日本語,,Internal Only,,,,,,,,Windows;#運用,INF-025,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
実践！ Windows as a Service との上手な付き合い方 ～新しい OS 更新管理の徹底解説～,Windows 10 は、Windows as a Service の概念の元、定期的に機能強化がなされる”成長するOS”となっています。更新プログラムの提供方法や機能アップグレードモジュールの展開など従来の Windows OS と管理方法が異なってきます。本セッションでは Windows 10の更新プログラム管理と機能アップグレードの運用管理を既存インフラ上でおこなうための手法や留意点について紹介します。,3.Infrastructure,300,ITプロ,胡口敬郎,takoguch,コグチタカオ,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統括本部,テクノロジースペシャリスト,日本語,,Internal Only,組織のインフラ上でWindows 10 がインストールされた PC の運用管理をしている全ての皆さま,,,,,,,Windows;#運用,INF-021,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
なぜ「今」Windows 10 が必要なのか？ Windows 10 最強セキュリティ機能大解剖 ,年内で観測されたマルウェアの数は約200万。近年急速に増加し変化し続けるセキュリティ脅威に加え、内部不正による情報漏えいが多々増加している。　その影響として経済、顧客情報、評判の損失と戦っている企業が多い中、一つのニュースが上がってきた。「米国防総省 400万台のPCを年内にWindows 10 へアップグレード」。このセッションではなぜWindows 10が「今」必要なのか、また必要とされているのかをセキュリティ観点で徹底的に解剖し、皆様へ最強のセキュリティ対策をご紹介致します。,3.Infrastructure,300,ITプロ,武藤健史,tamuto,ムトウタケシ,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統括本部,ソリューションスペシャリスト,日本語,,Internal Only,最新のセキュリティ機能にご興味をお持ちの方はぜひご参加ください。,,,,,,,Windows;#Microsoft Intune,INF-022,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Updated：５年後のアプリケーションアーキテクチャを考える,de:code 2015で行った同一テーマの最新動向を3つの技術で解説します。分析系ではバッチとストリームデータのリアルタイムデータ分析、更新系では新しいハードウェアによる高性能OLTPとデータベース技術、そして、ステートフルなマイクロサービスアーキテクチャです。技術の出現の背景と普及のための条件、今後のアプリケーション開発への影響と、性能、耐障害性、プログラミングモデルなどを議論します。,6.Architecture,400,アーキテクト,萩原正義,masayh,ハギワラ　マサヨシ,日本マイクロソフト株式会社,エンタープライズパートナ営業統括本部,パートナー・クラウドソリューションアーキテクト,日本語,,Internal Only,,de:code 2015 special session ～マイクロソフトが考える 5 年後を見据えた技術提言～,https://channel9.msdn.com/Events/de-code/decode-2015/SPL-001,,,,,クラウド開発;#Microsoft Azure;#クラウド;#ビッグデータ;#IoT & デバイス,ARC-001,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Azure Stack 徹底解剖,"Azure の技術をそのまま自社データセンターに持ち込める Azure Stack。Azure Resource Manager ベースで動作し、Azure と同じ UI、同じコマンド、同じテンプレートで運用が可能な点などが注目されていますが、その内部を掘り下げていくとマイクロサービスやサービスファブリックにまでにたどり着くことがわかりました。
本セッションでは、デモを交えながら、Azure Stack の内部構造を徹底解説します。",3.Infrastructure,400,開発者;#ITプロ;#アーキテクト,高添　修,osamut,タカゾエ　オサム,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,Azure Stack というツールに興味がある方はもちろんのこと、プライベートクラウド、パブリッククラウド、SDN、SDS、自動化、セルフサービスなどに興味がある方は、是非ご参加ください。,,,,,,,Microsoft Azure;#Windows Server;#Software Defined Datacenter;#クラウド;#運用,INF-013,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Nano Server だけでここまでできる！ ～極小サーバーの使い方～,"数百 MB の C ドライブで動く Nano Server は、多機能こそがすべてだった企業向け製品の歴史を打ち砕き、小さい事が武器になり得ることを証明してくれようとしています。
本セッションでは、Nano Server だけでどれほどのシステムが実現できるのかを、プライベートクラウド基盤構築と仮想マシンやコンテナの上で動作するワークロードの2つをテーマに、デモを交えながら解説します。",3.Infrastructure,300,ITプロ,小塚 大介,v-dkozu,コヅカ ダイスケ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,オーディエンス エバンジェリズム マネージャー,日本語,"太田　卓也 (オオタ　タクヤ) takuyaot

カスタマーサービス & サポート
ビジネス統括本部
デベロッパーツールズ
インターネットエクスプローラーサポート",Internal Only,DevOps や Immutable Infrastructure を志すうえで重要となる小ささにこだわったサーバーOSに興味をもってくださる方はぜひご参加ください。,,,,,,,Web開発;#DevOps(チーム開発);#Microsoft Azure;#Windows Server;#Visual Stuido;#.NET;#Software Defined Datacenter;#クラウド;#運用,INF-019,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
認証強度を高めるための”多要素認証”活用 Deep Dive,"既に多くの皆様にご利用いただいている Azure Active Directory 多要素認証（MFA）は、アプリケーションに依存しないだけでなく、MFAを呼び出す条件を指定するなど、きめの細かな制御が可能です。
本セッションでは、さらに深くMFAを使いこなしていただくための認証基盤の設計手法や新たに独自の認証要素を追加するための開発手法について解説します。
",6.Architecture,300,開発者;#ITプロ;#アーキテクト,安納　順一,junichia,アンノウ　ジュンイチ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,プリンシパル テクニカル エバンジェリスト,日本語,,Internal Only,,,,,,,,Web開発;#UWP開発;#情報セキュリティ;#エンタープライズモビリティ,ARC-002,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
認証とか認可でもやもやしている方のための公開相談室,ユーザー管理や認証、そして認可を正しく理解するには、膨大な量の読書と長い経験が必要です。でも、なかなかそんな時間が取れないのが実情。本セッションは、みなさんがお持ちの疑問に対して、テクニカルエバンジェリストに加え、セキュリティサポート担当、そして現場でいやというほどアイデンティティ関連案件を担当しているMicrosoft MVPが経験と知識をフルに動員して我先に回答するチョークトークです。,9.Chalk Talk,300,ITプロ;#アーキテクト,安納 順一,junichia,アンノウ　ジュンイチ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,"日本マイクロソフト テクニカルエバンジェリスト 松崎剛
日本マイクロソフト セキュリティプログラムマネージャー  村木 由梨香
MVP for Enterprise Mobility 富士榮尚寛
",External,,,,,,,,情報セキュリティ;#運用,CHK-003,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
All about DevOps ? DevOps 第一人者のガチトークバトル！,元AWS、アジャイル / DevOps コーチで著名な吉羽龍太郎氏、日本人唯一の公式Dockerトレーナそして、HashiCorpエバンジェリスト、クリエーションラインの前佛雅人氏、MS系ITProの人気エバンジェリスト高添修、そしてマイクロソフトコーポレーションDevOps シニアテクニカルエバンジェリストの牛尾でお届けする日本のDevOps の現状と、技術について語りつくす最高に刺激的なチョークトークセッションです。このセッションは過激な内容が予想されるので、レコーディングされないかもしれません。DevOps の動向と、技術にの実際のところについて知りたい人、DevOps を実践していきたい人には最高におすすめのセッションになっております。お早めに！,9.Chalk Talk,400,開発者;#ITプロ;#アーキテクト,牛尾 剛,tsushi,ウシオ　ツヨシ,マイクロソフトコーポレーション,ITPro - Japan,シニアテクニカルエバンジェリスト ,日本語,"Agile , DevOps, Cloud コーチ　吉羽龍太郎
クリエーションライン　前佛雅人
日本マイクロソフト　エバンジェリスト　高添修",External,DevOpsに関わる全ての皆さま,,,,,,,DevOps(チーム開発),CHK-001,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
SQL Server 2016 Operational Analytics によるデータ活用,SQL Server 2016 では Operational Analytics という概念に基づいた、新たなデータ活用方法が提唱されています。従来のデータ利用方法との比較を交えながら、そのメリットや実現できること、さらには考慮点などについて紹介します。,2.Data Platform,300,ITプロ;#アーキテクト,平山　理,osamuhir,ヒラヤマ　オサム,日本マイクロソフト株式会社,プレミア フィールド エンジニアリング部,シニア プレミア フィールドエンジニア,日本語,,Internal Only,,,,,,,,,DBP-005,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
ここまでできる！ Visual Studio 2015 ～ 強化された C/C++ クロスプラットフォーム開発解説 ～,最新の Visual Studio 2015 は、Android や iOS の Native アプリ開発ができるだけでなく、GNU コンパイラによるコンパイル & ビルド、GDB によるデバッグが可能です。これにより、Linux サーバーや組込み OS 上の C/C++ によるアプリ開発が可能になりました。本セッションでは、強化された C/C++ によるクロスプラットフォーム開発を中心に、MFC をはじめとする従来機能も含め、C/C++ による Native アプリ開発の最新機能を解説します。,1.Development,300,開発者,太田 寛,hirosho,オオタ ヒロシ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,テクニカルエバンジェリスト,日本語,,Internal Only,C/C++言語でソフトウェア開発を行っているすべての開発者の皆様、是非ご参加ください,,,,,,,クラウド開発;#DevOps(チーム開発);#開発言語;#クロスプラットフォーム;#Windows;#Microsoft Azure;#Visual Stuido;#クラウド;#IoT & デバイス,DEV-009,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
No Things No Life ~ モノ、IoTの達人集合、何ができるか聞いてみよう！,"IT業界、組込み業界も含め、産業界で注目を集めているIoT。しかしてその実態は、適用範囲が広すぎてよくわからないと感じている人も多いことでしょう。
本セッションでは、IoTを構築するのに必須なモノやサービスを提供している、あるいは、実際にIoTの構築・運用に携わっているプロフェッショナルの皆様に、IoTを実際に構築するときの壁や留意点も交えながら、モノとITが融合して描く未来を語りつくしていただきます。",9.Chalk Talk,200,開発者;#アーキテクト,太田　寛,hirosho,オオタ　ヒロシ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,IoTに関わる全ての皆さまは是非ご参加ください。,,,,,,,IoT & デバイス,CHK-002,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
モダン Web : たった今と、ほんの少し未来のはなし,"Webの誕生以来、関連技術は加速度的に進歩しており、今後もそのスピード緩まることはないでしょう。HTML5、スマートデバイス、IoT、など、エポックメイキングな要素に事欠きません。これからのWebシステムはその進歩のメリットを享受しつつ、変化に耐えられることが肝要です。このセッションでは""について知りたい人、DevOps を実践していきたい人には最高におすすめのセッションになっております。お早",6.Architecture,300,開発者,物江 修,osamum,モノエ オサム,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,,,,,,,,Web開発,ARC-003,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Azureでのセキュアネットワーキング,仮想ネットワークのセキュリティをどのように実現するか、仮想ネットワークでどこまでできるのか。ARMになってより柔軟に、より安全に（できるように）なった仮想ネットワークについて、従来との差、オンプレミスとの差をまじえて解説します。,3.Infrastructure,300,開発者;#ITプロ;#アーキテクト,土居 昭夫,akdoi,ドイ アキオ,日本マイクロソフト株式会社,クラウド&ソリューションビジネス統括本部　第二Azure技術部,クラウドソリューションアーキテクト,日本語,,Internal Only,Microsoft Azure でインフラ設計を担当する皆様に。特にネットワークを含めたサーバーサイドの構築を行う方はぜひご参加ください。,,,,,,,Microsoft Azure;#クラウド,INF-003,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
「Azure を利用したエンタープライズ Java アプリケーション開発の今とこれから !!」 ,"本セッションは、今すぐエンタープライズ環境で利用可能な Java on Azure の利用方法についてデモを交えながらご紹介します。
前半部では、Twitter4J など OSS アプリ開発者として著名な、株式会社サムライズム CEOの 山本 裕介氏をお迎えし、Java の開発者で人気の統合開発環境である IntelliJ IDEA から Azure を利用したデモを行うほか、Twitter4Jを利用してリアルタイムのTwitterデータ解析・可視化などをおこなうデモなども行います。後半では、ミッション・クリティカルなサービスを安全に提供させるための Java on Microsoft Azure の活用方法をご紹介します。",7.DevOps & OSS,300,開発者,寺田佳央,yoterada,テラダヨシオ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,シニア・テクニカル・エバンジェリスト,日本語,"山本 裕介氏（ヤマモトユウスケ）
株式会社サムライズム",External,Java アプリケーションの開発に携わるみなさま、最新の Java on Azure にご興味をお持ちの方はぜひご参加ください。,,,,,,,Web開発;#情報セキュリティ;#OSS;#Microsoft Azure;#SQL Server;#クラウド,DOO-001,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
