セッションタイトル,セッション概要,トラック,セッションレベル,対象オーディエンス,スピーカー名,スピーカーAlias,ヨミガナ,会社名,部署名,役職,セッションで使用する言語,他のスピーカ,Internal or External,受講対象文言,関連MVA(1)タイトル,関連MVA(1)URL,関連MVA(2)タイトル,関連MVA(2)URL,関連MVA(3)タイトル,関連MVA(3)URL,関連製品テクノロジーキーワード,セッションID,Discloser Plan,Item Type,Path
ハイブリッドクラウド環境でのネットワークとセキュリティ ～ Azure とのプライベート接続 ～,本セッションではすでに本格化しつつあるハイブリッドクラウド環境を実現するためのネットワークやセキュリティの手法をご紹介します。オンプレミス環境のインフラストラクチャと Azure とのプライベート接続である ExpressRoute を中心として、実際に利用する上での考慮点からデモやユーザ事例を交えた最新情報までご説明いたします。,3.Infrastructure,300,ITプロ;#アーキテクト,水谷 広巳,himizuta,ミズタニ ヒロミ,日本マイクロソフト株式会社,クラウド&ソリューションビジネス統括本部　Azure 技術部,クラウドソリューションアーキテクト,日本語,,Internal Only,,,,,,,,Microsoft Azure;#クラウド,INF-005,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
そこのコンテナ、うまく積めてるね！ ～Windows アプリケーション コンテナの展開と運用～,サーバーアプリケーションの構築、展開に関する諸問題を解決するのに力を発揮するということで、近年注目を浴びているコンテナ技術。これまで LAMP などでしか使えなかったコンテナも Windows Server Container の登場により活躍の場を広げつつあります。本セッションは、Windows Server のコンテナとはどのようなものか、インフラとしてどう取り扱っていくべきかを見ていきます。,3.Infrastructure,300,ITプロ,白山 貴之,tashiroy,シロヤマタカユキ,日本マイクロソフト株式会社,クラウドプラットフォーム技術部,テクノロジーソリューションズプロフェッショナル,日本語,,Internal Only,,,,,,,,Windows Server;#運用,INF-015,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
デスクトップ仮想化の実践 - powered by Windows Server 2016 & Azure -,"デスクトップ環境もクラウドへ。マイクロソフトでは、""eference architecture"" (http://aka.ms/RDSonAzure) として、 Windows Server 2012 R2 ベースの RDS on Azure 設計ガイドを公開しています。本セッションでは、Windows Server 2016 の RDS/VDI 新機能や Azure の最新機能を組み合わせることによって、最適なシステム構成がどのように進化するのかを解説します。
また、Windows 10 on Azure などのロードマップもお伝えする予定です。。への取り組みを解説いたします。。します。そして、",3.Infrastructure,300,ITプロ,前島 鷹賢,tamaejim,マエジマ　タカマサ,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統括本部,テクノロジーソリューションズプロフェッショナル,日本語,"戸嶋 一葉 katoshim
クラウド＆ソリューションビジネス統括本部
テクノロジーソリューションズプロフェッショナル",Internal Only,"デスクトップ仮想化（RDS, VDI など）の設計・実装に携わる方はぜひご参加ください",Azure desktop hosting - Reference architecture and deployment guides,http://aka.ms/RDSonAzure,[FEST 2015] フレキシブル ワーク スタイルを支えるマイクロソフトのデスクトップ仮想化,https://channel9.msdn.com/events/FEST/2015/CLD-332,,,Microsoft Azure;#Windows Server;#クラウド,INF-012,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
"あなたもハマるかもしれない ""アーキテクトがクラウド導入の現場で見た課題の傾向と対策～～ment guidess",エンタープライズ企業のクラウド導入が加速する中で、マイクロソフトでは CSA (Cloud Solution Architect) と呼ばれるアーキテクトが Microsoft Azure を導入するお客様の技術支援を行っています。お客様が Azure を活用しようと考えたとき、様々な課題に直面します。「IaaS と PaaS をどう使い分ければ良いのか？」、「権限はどのように管理するのか？」など、どのお客様でも直面する “Azure あるある” について、CSAの観点から傾向と対策を解説します。,6.Architecture,300,開発者;#ITプロ;#アーキテクト,吉松 龍輝,ryukiy,よしまつ りゅうき,日本マイクロソフト株式会社,クラウド & ソリューション ビジネス統括本部 第二 Azure 技術部,クラウド ソリューション アーキテクト,日本語,,Internal Only,,,,,,,,クラウド開発;#Microsoft Azure;#クラウド;#運用,ARC-005,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Microsoft Loves Red Hat ～Azure と OpenShift が生み出すフルオープンなPaaS～,"ハイブリッドなクラウド環境の利活用の課題を解決するために、マイクロソフトとレッドハットは戦略的なパートナーシップを締結しました。本セッションでは、2 社の提携により実現したテクノロジーについて、その最新動向を解説します。
Microsoft Azure とレッドハットの PaaS 基盤である OpenShift を連携させることで、ハイブリッドなクラウド環境を活かしたアプリケーションのデプロイが可能となりました。それぞれのメリットを活用できるようになりました。OpenShift の具体的な利活用例や、開発者、運用者にとっての活用ポイントを、デモンストレーションを交えてご紹介します。",7.DevOps & OSS,300,,新井 真一郎,shiarai,アライ シンイチロウ,日本マイクロソフト株式会社,マーケティング＆オペレーションズ　クラウド＆エンタープライズビジネス本部　OSS戦略担当,OSSエバンジェリスト,日本語,"レッドハット株式会社
サービス事業統括本部 ソリューション・アーキテクト部 OpenShiftソリューションアーキテクト
大溝 桂",External,,,,,,,,クラウド開発;#OSS;#クラウド;#運用,DOO-010,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
Dynamics CRM Online 2016 新Web APIで開発するモバイルアプリ,Dynamics CRM 2016からOData v4 RESTベースの新しいWeb APIが追加されました。これにより、これまでERPやCRMを使ったことないモバイルアプリ開発者も、Dynamics CRM のアプリ開発が容易になりました。また認証には、Azure サービスや Office 365 と共通の認証基盤である  Azure Active Directoryを使えます。そのため、iOS/Android、Xamarin、Windows 10などのモバイルアプリから、Azure Storage、SQL Azure Database、Office 365等と同様のバックエンドとしてDynamics CRMを自由に利用できます。このセッションでは、Mobile Engagementなど様々なテクノロジーと連携しつつ、具体的なシナリオに基づいたアプリをご紹介し、その開発に必要な情報をご提供していきます。,5.Productivity,300,開発者,中村 憲一郎,kenakamu,ナカムラ ケンイチロウ,日本マイクロソフト株式会社,カスタマー サービス＆サポート,PMC Delivery,日本語,"鈴木 章太郎
日本マイクロソフト株式会社　デベロッパーエバンジェリズム統括本部
テクニカルエバンジェリスト
",Internal Only,,Microsoft Dynamics CRM 製品情報,https://www.microsoft.com/ja-jp/dynamics/crm.aspx,Dynamics CRM 製品、技術情報ブログ,https://blogs.msdn.microsoft.com/crmjapan/,,,UWP開発;#クラウド開発;#開発言語;#Visual Stuido;#.NET;#Dynamics;#Windows Phone;#クラウド,PRD-007,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
機械学習で顧客対応はこう変わる！Azure MLとDynamicsで造る次世代CRM,データセットからモデルを作成し、コンピューターが不特定のデータに対する意思決定を行う機械学習。機械学習を用いることによって、業務の効率や精度が向上するでしょう。本セッションでは、Azure ML と Dynamics CRM の連携手法およびシナリオをデモを交えてお届けします。,5.Productivity,300,開発者;#ITプロ;#アーキテクト,河野 高也,takawano,カワノ　タカヤ,日本マイクロソフト株式会社,カスタマー サービス＆サポート,Dynamics Global Domain　プレミアフィールドエンジニアリング,日本語,"西澤 貴志
日本マイクロソフト株式会社
Dynamics ビジネス統括本部
プリンシパル テクノロジー スペシャリスト ",Internal Only,,Microsoft Dynamics CRM 製品情報,https://www.microsoft.com/ja-jp/dynamics/crm.aspx,Dynamics CRM 製品、技術情報ブログ,https://blogs.msdn.microsoft.com/crmjapan/,,,クラウド開発;#クロスプラットフォーム;#Windows;#Microsoft Azure;#Windows Server;#Visual Stuido;#.NET;#Dynamics;#クラウド;#ビッグデータ,PRD-006,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
そのログ、ただ集めているだけではありませんか？ ～ IT 運用の世界にもビッグデータの活用を！ ～,IT 運用の世界では数多くのシステムから、ログをはじめ様々な情報が出力されます。担当者はこれらの膨大な情報と日々格闘されているのではありませんでしょうか。そして、せっかく集めた情報を有効活用することができず、ただ保存しているだけではありませんでしょうか。このセッションでは、Azure Log Analytics を中心に、IT 運用の世界でも膨大なデータを活用するための仕組みについてわかりやすく解説いたします。,3.Infrastructure,300,ITプロ,佐藤　和,nodokas,サトウ ノドカ,日本マイクロソフト株式会社,クラウドプラットフォーム技術部,シニアテクノロジースペシャリスト,日本語,,Internal Only,このタイトルを見てドキッとされた方、このセッションの中に解決のヒントがあるかもしれません。ビッグデータの活用というと、少し敷居が高いものに感じるかもしれません。しかしながら、このセッションではSaaS型のソリューションを中心に紹介していきますので、すぐに利用することができます。皆様のご参加をお待ちしております。,,,,,,,情報セキュリティ;#OSS;#クロスプラットフォーム;#Microsoft Azure;#Windows Server;#System Center;#クラウド;#ビッグデータ;#運用,INF-010,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
クラウド時代のセキュアな企業システム構築 ～ OSS＋Azureで実現する安心な企業システム,"このセッションではクラウド時代に何に考慮すればセキュアな企業システムを構築できるかを考えます。
そして、オープンソースを活用し、Azureのサービスを組み合わせることでどのように実現するかを解説します。
適切なサービス利用により、自由と安全を手に入れましょう！",7.DevOps & OSS,300,開発者;#ITプロ,吉田　雄哉,yuyoshi,,日本マイクロソフト株式会社,クラウド & ソリューション ビジネス統括本部 第二 Azure 技術部,クラウド ソリューション アーキテクト,日本語,,Internal Only,,,,,,,,クラウド開発;#OSS;#開発言語;#Microsoft Azure,DOO-011,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
マイクロソフトが実践したScrum導入７年間の旅、そしてDevOpsへの進化,"【英語セッション】
マイクロソフトは急激に変化し、もの凄いスピードでイノベーティブな製品を生み出しています。マイクロソフトの DevOps チームのリーダで世界的に著名な Sam Guckenheimer 氏が来日、失敗を含めた生々しい事例を余すところなく語ります。彼は アジャイルや、DevOps の多くの著作を発表、世界最大のアジャイルカンファレンスのキーノートスピーカでもあります。マイクロソフトの開発力の秘密、DevOps 実践の究極の姿を知りたい人は是非ご参加ください。",7.DevOps & OSS,300,開発者;#ITプロ;#アーキテクト,Sam Guckenheimer ,samgu,サムグッケンハイマー,Microsoft Corporation,,Partner PM Manager,英語,,Internal Only,マイクロソフトが実施した DevOps　の事例について興味のある方 ,,,,,,,Web開発;#クラウド開発;#DevOps(チーム開発);#運用,DOO-008,1. 第一弾,Item,teams/decode2016spk/Lists/BSInfo
App Service を利用したウェブサイト構築における運用管理とセキュリティ対策,"PaaS は管理不要と思っていませんか？IaaS と比較すると管理を低減できますが、ゼロになるわけではありません。このセッションでは、Azureの PaaS である、App Service の仕組みを解説すると共に、ウェブサイト運用時に必要な、ログ取得、バックアップ、死活監視、セキュリティ対策などの方法を解説します。
",3.Infrastructure,300,ITプロ;#アーキテクト,鈴木 祐巳,masamis,スズキ マサミ,日本マイクロソフト株式会社,クラウドプラットフォーム技術部,テクノロジースペシャリスト,日本語,,Internal Only,App Service を安心して導入したい技術者,,,,,,,Web開発;#Microsoft Azure;#クラウド;#運用,INF-004,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
詳説 Azure IaaS ～私はインフラが好きだ～,"App ServicesやSQL Database等、マネージドサービスの使いこなしがAzure活用のコツ、とよく言われます。
だが、ちょっと待ってほしい。
私はサーバーを作りたい。ストレージを工夫したいしネットワークにこだわりたい。そしてそれらの「中身」が知りたい。そう、私はインフラが好きだ！
そんなあなたはぜひこのセッションへ。データセンターの物理的配置、仮想マシンの内部構造、ロードバランサーの動作原理…雲の向こうで蠢く秘密を解き明かしましょう。",3.Infrastructure,400,ITプロ;#アーキテクト,佐々木邦暢,ksasaki,ササキ クニノブ,日本マイクロソフト株式会社,パートナーセールス統括本部,パートナーテクノロジーストラテジスト,日本語,,Internal Only,Azureの中身が気になるインフラエンジニアの方はぜひご参加ください,,,,,,,Microsoft Azure;#クラウド,INF-001,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
Apache Spark for Azure HDInsight ～新世代のビッグデータ処理基盤～,"当初は“Isotope”というコードネームで呼ばれていたHDInsightも誕生から早5年。
この間にHadoopエコシステムも大きく進化しました。最近の話題はインメモリデータ構造を活用して低遅延の繰り返し処理を得意とする“Apache Spark”の隆盛でしょう。
このセッションでは、HDInsightでのSparkクラスタの様々な活用方法。特に、標準で含まれるAnacondaを利用した機械学習の実践、さらにEvent Hubsからのデータ取り込みやPower BIでの可視化といったAzure上のサービスとの連携について解説します。",2.Data Platform,300,開発者;#ITプロ;#アーキテクト,佐々木邦暢,ksasaki,ササキクニノブ,日本マイクロソフト株式会社,パートナーセールス統括本部,パートナーテクノロジーストラテジスト,日本語,,Internal Only,ビッグデータ分析や機械学習に興味のある方はぜひご参加ください。,,,,,,,クラウド開発;#Microsoft Azure;#クラウド;#ビッグデータ,DBP-011,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
Power BI Service のアーキテクチャとエンタープライズ利用におけるデザイン パターン,"従来 BI システムは一般的に導入効果を示しづらいと言われてきましたが、導入・運用コストを大幅に低減できるクラウド BI の登場により導入の敷居が下がってきました。一方でエンタープライズで導入する際には、セキュリティやデータの特性に応じた構成などの考慮が必要となります。
本セッションではマイクロソフトが提供するクラウド BI である Power BI Service の認証やアクセス制御、様々なクラウド サービスやオンプレミスのデータソースとの接続等のアーキテクチャとデザイン パターンについて、デモを交えてご説明します。",2.Data Platform,300,開発者;#ITプロ;#アーキテクト,伊藤 歩,ayumitoh,イトウ アユミ,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統括本部,テクノロジー ソリューション プロフェッショナル,日本語,,Internal Only,クラウド BI を提案する方、導入を検討される方はぜひご参加ください。,,,,,,,Microsoft Azure;#Office 365;#SQL Server;#クラウド;#ビッグデータ,DBP-017,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
SQL Server 2016 Analysis Services のアーキテクチャとその活用方法,"SQL Server Analysis Services は SQL Server の標準機能として搭載されている""能で、バージョンアップと共に機能が拡張されてきました。本セッションでは、分析モードの使い分けの方法をわかりやすくご説明し、活用方法、SQL Server2016からの新機能、Azureを使った構築方法をご紹介いたします。。の認証やアクセス制御、様々なク",2.Data Platform,300,開発者;#ITプロ,高木 充弘,mitakagi,タカギ ミツヒロ,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統括本部,ソリューションアーキテクト,日本語,,Internal Only,ビジネスインテリジェンスの構築/運用にかかわる開発者、IT Pro の方、是非ご参加ください。,,,,,,,SQL Server;#ビッグデータ,DBP-006,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
クラウドで実現するスケーラブルなデータウェアハウス Azure SQL Data Warehouse 解説,多種多様なデバイスの増加に伴い企業や個人が取り扱うデータも爆発的に増加しています。今後もさらにデータの増加が予想される中まもなく正式リリースされる Azure SQL Data Warehouse は、負荷に応じたスケールアウト/スケールインやペタバイト規模のデータ分析を実現する PaaS 型のリレーショナル データウェアハウスです。本セッションでは Azure SQL Data Warehouse のアーキテクチャを中心に、設計・構築に役立つポイントを解説します。,2.Data Platform,300,開発者;#ITプロ;#アーキテクト,高木 英朗,hitakagi,タカギ ヒデオ,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統括本部,ソリューションアーキテクト,日本語,,Internal Only,データウェアハウスの設計・構築に関わる方はぜひご参加ください。,,,,,,,クラウド開発;#Microsoft Intune;#SQL Server;#クラウド;#ビッグデータ,DBP-009,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
OS の中で SDN 抗争勃発!?　～主役を争う VXLAN vs NVGRE～,Azure Stack は VXLAN で動作する? そんな噂が囁かれている中、本セッションでは、マイクロソフト SDN の柱として Azure でも使われている NVGRE と、Windows Server 2016 に新機能として実装予定のVXLAN、NFV や Network Controller など、OS 標準搭載の SDN 最新技術の動向と技術者目線の活用法を徹底解説します。,3.Infrastructure,400,ITプロ;#アーキテクト,高添 修,osamut,タカゾエ　オサム,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,"ビットアイル・エクイニクス株式会社
テクノロジー・サービス本部
IT基盤技術部
後藤 諭史様",Internal Only,Azure や Azure Stack のネットワークを詳しく知りたい方。特に、社内がまだ SDN になっておらず、VLAN の定義を頻繁に行わないといけない企業の方は必見です。,,,,,,,Microsoft Azure;#Windows Server;#System Center;#クラウド;#運用,INF-018,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
ハイブリッドな Active Directory の設計～Windows Server 2016 版,"Azure Active Directory が着々と進化し続ける中、社内 Active Directory は以前以上に重要な役割が求められています。それは IT ガバナンスの要としての役割です。
オンプレミスには、クラウド化できない多くのリソースが残されています。これを無視して認証基盤の設計は行えません。IT部門はクラウド化の波も意識しつつ、オンプレミスもこれまで通り安全に守り続ける必要があるのです。
そうしたニーズを吸収するには、Azure Active Directory とオンプレミスの Active Directory を1つのアイデンティティプロバイダーとして設計することです。安全に確実なアクセス制御を行うためには、それぞれに適切な役割を持たせコントロールする必要があります。
本セッションでは、Azure Active Directory と最新の Windows Server 2016 Active Directory によるハイブリッドなアイデンティティプロバイダーの設計手法を整理し、詳しく解説します。
なお、難易度は少し高めに設定しています。",3.Infrastructure,300,ITプロ;#アーキテクト,安納 順一,junichia,アンノウ ジュンイチ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,プリシンシパル テクニカル エバンジェリスト,日本語,,Internal Only,認証基盤の設計に興味があるエンジニア,,,,,,,情報セキュリティ;#エンタープライズモビリティ;#Microsoft Azure;#Windows Server,INF-007,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
セキュリティ マニアックス -サイバー攻撃の手口と防御手法- ～敵を知り、己を知れば百戦危うからず～,近年のサイバー攻撃では、情報漏えいだけでなく、ユーザーIDやパスワードといった資格情報を狙った攻撃も目立ちます。攻撃者は高い権限の資格情報を狙って攻撃を行うことで、より重要度の高いシステムへの侵入を試みます。本セッションでは、攻撃者目線から見た際のインフラへのサイバー攻撃の流れを実際の画面を見ながら理解し、Windows 10 や ATA といったマイクロソフトの製品やテクノロジーを利用した防御方法について解説します。,3.Infrastructure,300,ITプロ;#アーキテクト,蔵本 雄一,yuichik,クラモト ユウイチ,日本マイクロソフト株式会社,マイクロソフト テクノロジーセンター,セキュリティアーキテクト,日本語,,Internal Only,セキュリティに興味のあるすべての皆様。特にサイバーセキュリティの脅威を知りたい方はぜひともご参加ください！,,,,,,,情報セキュリティ,INF-027,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
驚愕！Azure リソースマネージャを利用した Infrastructure as Code 実践,"企業戦士諸君、数十ページにわたる環境構築手順書作成や手順通りのインフラ構築作業はしんどいですよね。あげく、正しく設定されている保証は何もないなんて・・・
今回、皆さんにご紹介するのは「Azure リソースマネージャのテンプレート機能」です。そこのあなた！クラウド時代に乗り遅れないためにも Azure での Infrastructure as Code を学び、手順書地獄から抜け出しましょう！",3.Infrastructure,400,開発者;#ITプロ,勇 大地,daisami,イサミ ダイチ,日本マイクロソフト株式会社,クラウド&ソリューションビジネス統括本部　Azure技術部,クラウドソリューションアーキテクト,日本語,,Internal Only,,,,,,,,クラウド開発;#DevOps(チーム開発);#Microsoft Azure;#クラウド;#運用,INF-011,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
Windows Insider Meetup in Japan 2 ”de:code 2016特別編”,Windows Insider Program にご参加頂いている 日本のInsider の向けに、日本マイクロソフト株式会社、マイクロソフト ディベロップメント株式会社でWindows 10に関わる社員に直接、フィードバックをする機会をご用意しました。Windowsのことでマイクロソフトの関係者に直接、言いたいことがある、見解を聞きたいことがある、自分の考える理想の Windowsのことを聞いて欲しい、そんな、Insider のみなさまのご参加をお待ちしています。,9.Chalk Talk,200,開発者;#ITプロ,春日井 良隆,yoshika,カスガイ ヨシタカ,日本マイクロソフト株式会社,Windows & デバイス本部,プロダクトマネージャー,日本語,Windowsに関わるエンジニア、プロジェクトマネージャ、エバンジェリスト、マーケティング担当者の同席を予定しています。,External,Windows Insider Program に参加していること,,,,,,,Windows,CHK-008,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
PowerShell を 使いこなして、自動化対応 エンジニア になろう！！,"オンプレミス Windows 環境、Microsoft Azure、Microsoft Azure Stack などで使用する PowerShell。
もう既に、PowerShell を使える人と使えない人で、スキル差が発生しております。
クラウド技術の要素に自動化技術がある様に、インフラ側のエンジニアにとっても必須スキルです。
Azure と共に進化して PowerShell が、5.0 にメジャーバージョンアップ しました。このセッションでは、PowerShell 5.0 の紹介、Azure 上のお客様システム(本番/開発環境)を自動運用させる新機能/機能拡張 を紹介致します。",3.Infrastructure,300,ITプロ;#アーキテクト,東屋 善昭,yoshiazu,アズマヤ ヨシアキ,日本マイクロソフト株式会社,エンタープライズパートナー営業統括本部 クラウド＆アーキテクチャ技術本部,クラウドソリューションアーキテクト,日本語,,Internal Only,受講対象：本番環境、開発テスト環境 を構築する際も、操作ミス ゼロで行えますので、インフラ＆開発者の方で、PowerShell 初級中級者の方、Azure で自動運用を行いたい方は、ぜひご参加下さい。,,,,,,,クラウド開発;#Microsoft Azure;#Windows Server;#Software Defined Datacenter;#クラウド;#運用,INF-009,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
エンプラ系 業務 Web アプリ開発に効く！ 実践的 SPA 型モダン Web アプリ開発の選択手法,昨今、インターネット界隈では HTML5 技術を駆使した SPA 型モダン Web アプリが増えており、エンタープライズ系の業務システムでも同様の機運が高まってきています。しかし、低水準開発の必要性、高すぎる開発自由度、ライブラリ選択の難しさなどがあり、ハードルの高さを感じている .NET 開発者の方も多いと思います。本セッションでは、業務 Web アプリを SPA 型で開発する際に問題となりやすい、アーキテクチャデザイン上のポイントについて解説します。,1.Development,300,開発者,赤間 信幸,nakama,アカマ ノブユキ,日本マイクロソフト株式会社,エンタープライズサービス統括本部,プリンシパルコンサルタント,日本語,,Internal Only,業務 Web システム開発に SPA 技術を導入し、より洗練された Web アプリを開発したいと考えられている開発者の皆さま。現在 Web フォームで開発しており、モダン Web アプリへの取り組み方に悩まれている方には特にオススメです。,,,,,,,Web開発,DEV-010,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
日本でも出来る！MS技術をフル活用したDevOps の具体的実現手法！,"DevとOps が協力しソストウェアのライフサイクルを改善し、1日10回もの本番環境へのデプロイが可能な程のリードタイムを実現する DevOps。
　こんなことが本当に日本でも可能なのでしょうか？
　本セッションでは、事例を元にした具体的な DevOps の導入の仕方から、DevOps のマインドセットと、プラクティス、ツールを具体的なデモと共にお届けします。今年のde:code のゲストに代表される、米の西海岸で起こっているような「ソフトウェア産業の革命」の最新プラクティスがマイクロソフト技術を使ことで、皆さんも簡単に実施出来るようになります。是非お見逃しなく！",7.DevOps & OSS,300,開発者;#ITプロ;#アーキテクト,牛尾　剛,tsushi,ウシオ　ツヨシ,マイクロソフトコーポレーション,ITPro - Japan,シニアテクニカルエバンジェリスト,日本語,,Internal Only,DevOps に興味がある方、MSテクノロジに興味がある方,,,,,,,クラウド開発;#DevOps(チーム開発);#Microsoft Azure;#Visual Stuido;#クラウド,DOO-014,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
Azure IoT Suite を活用したカスタム ソリューションの作成方法,Azure IoT Suite を使用すると、クラウドに接続されたデバイスから大量のデータを収集し、監視や分析を行うような IoT ソリューションを、シナリオに合わせてすぐに展開することができます。本セッションでは事前に構成されたソリューションのカスタマイズ方法やデバイスの開発方法について、デモを交えながら解説します。,2.Data Platform,300,開発者,長谷部 寛之,hiroyha,ハセベ ヒロユキ,日本マイクロソフト株式会社,カスタマー サービス＆サポート,プレミアフィールドエンジニア,日本語,,Internal Only,IoT ソリューションの開発に興味のル技術者の皆様は、ぜひご参加ください。,,,,,,,クラウド開発;#Microsoft Azure;#クラウド;#ビッグデータ;#IoT & デバイス,DBP-003,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
Windows 10のブラウザー、Edge のこれからについて,"Microsoft Edgeは他のWebブラウザーとの相互運用性を重視し、Web標準のみならず、デファクトスタンダードな技術も積極的にサポートしていきます。
このセッションでは、今後の予定される機能実装、そしてWindows10という視点から今後のEdgeの方向性について参加者とディスカッションします。",9.Chalk Talk,200,開発者,物江　修,osamum,モノエ　オサム,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,"春日井 良隆
yoshika
Windows & デバイス本部
プロダクト マネージャー

・氏名:  羽田野太巳 (ハタノ フトミ)
・会社名 : 有限会社futomi 代表取締役／株式会社ニューフォリア 最高技術責任者

・氏名: 白石俊平 (シライシ シュンペイ)
・会社名 : 株式会社オープンウェブ・テクノロジー
・部署名なし
・役職 : CEO/TechFeed編集長

・氏名: 吉川徹(ヨシカワ トオル)
・コミュニティ名: html5j.org

",External,,,,,,,,Web開発,CHK-007,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
Windows 10 ×　Gaming ×　Feature ×　Development,Windows 10 は最強のゲーミングプラットフォームです。実際 Windows 10 はゲーミングプラットフォームとして急速に普及しており多くのゲーマーが Windows 10 を利用しています。このセッションでは最強たらしめているテクノロジー、サービス、それらを使ったアイディア、開発ソリューション、開発環境についてちょっとイイ話をいたします。,4.Client,200,開発者;#アーキテクト,鵜木 健栄,kunoki,ウノキ　ケンエイ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,UWPのみならずゲーム/エンターテインメント開発にご興味ある方はぜひ、ご参加ください,,,,,,,UWP開発;#クロスプラットフォーム;#Windows;#Visual Stuido;#Xbox;#クラウド,CLT-013,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
Pepper × Microsoft Azure 協業の舞台裏 ~未来の商品棚から広がる世界~,Softbank Robotics 様との協業によるリテール向けソリューションを発表していますが、そこで利用されるアーキテクチャ、技術について解説します。Pepper や Surface Hub を始めとしたデバイスとクラウドの連携方式、Azure IoT Hub、Stream Analytics、Machine Learning、SQL Database、Data Lake、Power BI の各サービスの利用方式、スケーラビリティを確保する為のアプリケーション実装について解説致します。,2.Data Platform,300,開発者;#アーキテクト,宮原　誠治,seijim,ミヤハラ　セイジ,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統括本部,クラウド ソリューション アーキテクト,日本語,,Internal Only,クラウド AI & エッジ AI、IoT、デバイス間連携、ビッグデータ などにご興味のあるクラウド アプリケーション開発者の方は、是非ご参加ください。,,,,,,,クラウド開発;#Microsoft Azure;#.NET;#クラウド;#ビッグデータ;#IoT & デバイス,DBP-015,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
データ分析のさらに一歩先へ Cortana Intelligence Suite,マイクロソフトは Cortana Intelligence Suite (CIS) という名の基にデータ分析、データ インテリジェンスを包括的に支える仕組みを提供しています。CIS はデータ収集から分析、可視化までを一気通貫で行えるサービス群と共に画像、音声のマルチメディア解析 API である Cognitive Services や自動応答エージェントである Bot Framework も含んでいます。このセッションでは、CIS が何であり、どのように使って頂くのがよいかをご説明します。,2.Data Platform,300,開発者;#ITプロ;#アーキテクト,笹木　幸一郎,kosasaki,ササキ　コウイチロウ,日本マイクロソフト株式会社,Global Black Belt,アナリティクス テクノロジー ソリューション プロフェッショナル,日本語,,Internal Only,データ分析や AI に関する仕事に携わる皆様、ぜひご参加ください。,,,,,,,クラウド開発;#Microsoft Azure;#クラウド;#ビッグデータ;#IoT & デバイス,DBP-002,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
実践！App Service 徹底活用 ～ 一貫したビジネスロジックの実現,本セッションはビジネスシナリオを元にして、App Service をどのようにソリューションへ適用していくかをご紹介します。特に App Service のうちビジネスロジックを実現するサービスである Mobile Apps、API Apps そして Logic Apps にフォーカスし、App Service を活用したビジネスロジックの設計～インプリメントの流れを紹介しつつサービス構築の手法をご紹介させていただきます。,1.Development,400,開発者;#アーキテクト,酒井 達明,tasakai,サカイ タツアキ,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統轄本部,クラウドソリューションアーキテクト,日本語,,Internal Only,,,,,,,,クラウド開発;#Microsoft Azure,DEV-015,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
